run_id,timestamp,step_name,stage,duration,status,error_type,error_message,failure_type,line_number,file_path,matched_line,exit_code,python_version
run_0106,2026-08-27T10:53:36.4906453Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0107,2026-08-27T10:54:03.5693163Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0108,2026-08-27T10:54:32.8885797Z,Check App Syntax,build,0.026,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0109,2026-08-27T10:54:59.2987493Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0110,2026-08-27T10:55:28.6920931Z,Check App Syntax,build,0.024,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0111,2026-08-27T10:55:55.5333276Z,Check App Syntax,build,0.016,failure,SyntaxError,expression expected after dictionary key and ':',syntax_error,1,<string>,SyntaxError: expression expected after dictionary key and ':',1,3.11.16
run_0112,2026-08-27T10:56:23.3592959Z,Check App Syntax,build,0.024,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0113,2026-08-27T10:56:43.5350294Z,Check App Syntax,build,0.026,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0114,2026-08-27T10:57:05.6738127Z,Check App Syntax,build,0.024,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0115,2026-08-27T10:57:32.3565595Z,Check App Syntax,build,0.026,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0116,2026-08-27T10:57:54.2491220Z,Check App Syntax,build,0.021,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0117,2026-08-27T10:58:20.5372798Z,Check App Syntax,build,0.026,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0118,2026-08-27T10:58:47.9223102Z,Check App Syntax,build,0.026,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0119,2026-08-27T10:59:09.7246690Z,Check App Syntax,build,0.02,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0120,2026-08-27T10:59:29.4726847Z,Check App Syntax,build,0.02,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0121,2026-08-27T10:59:50.8167603Z,Check App Syntax,build,0.02,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0122,2026-08-27T11:00:12.3571720Z,Check App Syntax,build,0.024,failure,SyntaxError,'{' was never closed,syntax_error,1,<string>,SyntaxError: '{' was never closed,1,3.11.16
run_0123,2026-08-27T11:00:33.8700700Z,Check App Syntax,build,0.026,failure,SyntaxError,'(' was never closed,syntax_error,1,<string>,SyntaxError: '(' was never closed,1,3.11.16
run_0124,2026-08-27T11:01:01.2642358Z,Check App Syntax,build,0.016,failure,SyntaxError,'(' was never closed,syntax_error,1,<string>,SyntaxError: '(' was never closed,1,3.11.16
run_0125,2026-08-27T11:01:30.8441433Z,Check App Syntax,build,0.023,failure,SyntaxError,'[' was never closed,syntax_error,1,<string>,SyntaxError: '[' was never closed,1,3.11.16
run_0126,2026-08-27T11:01:55.9849397Z,Check App Syntax,build,0.02,failure,SyntaxError,'{' was never closed,syntax_error,1,<string>,SyntaxError: '{' was never closed,1,3.11.16
run_0127,2026-08-27T11:02:18.5411910Z,Check App Syntax,build,0.024,failure,SyntaxError,expected '(',syntax_error,1,<string>,SyntaxError: expected '(',1,3.11.16
run_0128,2026-08-27T11:02:50.0642321Z,Check App Syntax,build,0.02,failure,SyntaxError,arguments cannot follow var-keyword argument,syntax_error,1,<string>,SyntaxError: arguments cannot follow var-keyword argument,1,3.11.16
run_0129,2026-08-27T11:03:20.0152403Z,Check App Syntax,build,0.024,failure,IndentationError,expected an indented block after class definition on line 1,syntax_error,1,<string>,IndentationError: expected an indented block after class definition on line 1,1,3.11.16
run_0130,2026-08-27T11:03:44.7539261Z,Check App Syntax,build,0.023,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0131,2026-08-27T11:04:07.4102023Z,Check App Syntax,build,0.026,failure,SyntaxError,'return' outside function,syntax_error,1,<string>,SyntaxError: 'return' outside function,1,3.11.16
run_0132,2026-08-27T11:04:34.7501352Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0133,2026-08-27T11:05:01.7000940Z,Check App Syntax,build,0.021,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0134,2026-08-27T11:05:31.3861407Z,Check App Syntax,build,0.023,failure,IndentationError,expected an indented block after 'if' statement on line 4,syntax_error,1,<string>,IndentationError: expected an indented block after 'if' statement on line 4,1,3.11.16
run_0135,2026-08-27T11:05:57.1850485Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0136,2026-08-27T11:06:26.1660078Z,Check App Syntax,build,0.023,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0137,2026-08-27T11:06:47.1063070Z,Check App Syntax,build,0.026,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0138,2026-08-27T11:07:13.2489972Z,Check App Syntax,build,0.026,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0139,2026-08-27T11:07:34.2316212Z,Check App Syntax,build,0.023,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0140,2026-08-27T11:08:01.3534759Z,Check App Syntax,build,0.026,failure,SyntaxError,expected 'except' or 'finally' block,syntax_error,1,<string>,SyntaxError: expected 'except' or 'finally' block,1,3.11.16
run_0141,2026-08-27T11:08:27.4275002Z,Check App Syntax,build,0.023,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0142,2026-08-27T11:08:48.9280442Z,Check App Syntax,build,0.023,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
